temperature,feels_like,humidity,wind_speed,weather_condition,season,age_range,style_preference,temperature_sensitivity,formality_preference,item_name,category,min_temp,max_temp,warmth_level,formality_level,item_style,is_recommended
11.0,6.6,38,9.8,clear,autumn,25-35,sporty,normal,informal,Swim Shorts,lower,28,45,1,1,sporty,0
9.4,6.2,62,6.1,clouds,autumn,18-25,elegant,normal,formal,Gloves,accessories,-30,5,8,5,casual,0
-15.0,-15.7,53,5.1,snow,winter,18-25,elegant,very_warm,formal,Light Jacket,outerwear,10,20,4,6,casual,0
19.6,18.2,65,5.2,clouds,summer,35-45,elegant,very_warm,formal,Gloves,accessories,-30,5,8,5,casual,0
7.8,7.9,79,6.4,clear,autumn,35-45,business,very_cold,formal,Oxford Shoes,footwear,5,35,2,10,business,1
30.2,24.6,53,14.1,clouds,summer,18-25,elegant,very_warm,formal,Polo Shirt,upper,15,28,2,6,casual,0
18.0,14.9,70,5.2,clear,autumn,18-25,business,very_cold,informal,Baseball Cap,accessories,15,40,0,3,sporty,1
-16.4,-18.7,65,1.5,clear,winter,25-35,business,normal,formal,Winter Boots,footwear,-30,5,9,5,casual,0
10.2,5.0,74,11.7,rain,spring,35-45,casual,normal,informal,Chinos,lower,10,28,3,7,business,1
32.7,32.7,49,13.9,clear,summer,25-35,sporty,normal,formal,Sunglasses,accessories,15,45,0,5,casual,0
13.6,9.4,69,9.2,clear,autumn,18-25,elegant,warm,semi_formal,Hoodie,upper,8,20,5,3,sporty,0
8.4,5.6,68,12.9,clouds,autumn,25-35,business,normal,formal,Summer Dress,upper,20,35,1,6,elegant,0
-7.0,-6.4,82,1.6,clear,spring,18-25,casual,very_warm,informal,Tank Top,upper,25,45,1,2,casual,1
20.0,16.0,75,12.3,rain,summer,25-35,casual,cold,semi_formal,Light Jacket,outerwear,10,20,4,6,casual,1
-16.9,-19.2,48,11.8,clear,winter,25-35,business,warm,informal,Fleece Jacket,outerwear,0,15,6,4,sporty,0
5.8,5.5,59,13.7,rain,autumn,25-35,casual,very_cold,formal,Jeans,lower,-5,25,4,5,casual,1
17.1,16.8,34,7.0,clouds,summer,35-45,business,warm,informal,Polo Shirt,upper,15,28,2,6,casual,1
17.5,14.6,73,14.3,clouds,autumn,35-45,business,very_cold,formal,Oxford Shoes,footwear,5,35,2,10,business,1
23.3,22.6,46,9.1,clear,summer,45+,elegant,normal,formal,Summer Dress,upper,20,35,1,6,elegant,1
-14.1,-16.4,51,14.3,clouds,winter,35-45,sporty,cold,semi_formal,T-Shirt,upper,18,35,1,3,casual,0
26.1,23.7,77,5.7,rain,autumn,35-45,business,warm,informal,Thermal Underwear,upper,-30,0,9,2,sporty,0
14.8,16.5,69,6.0,clouds,spring,25-35,business,warm,informal,Blazer,outerwear,15,28,3,9,business,1
17.6,15.0,35,1.2,clear,summer,25-35,casual,warm,formal,Linen Shirt,upper,22,38,1,7,business,1
4.5,1.3,39,12.9,clear,spring,45+,casual,normal,semi_formal,Heavy Parka,outerwear,-30,0,10,4,casual,1
-2.1,-0.6,67,4.3,clear,spring,45+,sporty,very_warm,formal,Oxford Shoes,footwear,5,35,2,10,business,0
24.8,22.0,65,10.8,clouds,summer,45+,business,cold,semi_formal,Wool Coat,outerwear,-15,5,8,8,business,1
16.2,15.7,83,2.8,clouds,spring,35-45,casual,very_cold,formal,Heavy Parka,outerwear,-30,0,10,4,casual,0
16.2,13.2,54,1.0,clear,spring,35-45,business,normal,formal,Waterproof Boots,footwear,0,20,5,5,casual,1
14.6,12.4,83,3.8,clear,summer,45+,business,cold,semi_formal,Cardigan,upper,5,18,5,6,casual,1
13.7,12.7,65,4.4,clouds,spring,25-35,casual,very_cold,formal,Hoodie,upper,8,20,5,3,sporty,1
-27.0,-31.7,87,13.4,snow,winter,25-35,sporty,very_cold,informal,Denim Jacket,outerwear,12,22,3,5,casual,0
-15.8,-14.7,74,6.0,clear,winter,18-25,elegant,very_warm,formal,Oxford Shoes,footwear,5,35,2,10,business,0
-6.6,-8.3,87,12.2,clear,winter,35-45,elegant,very_warm,formal,Sneakers,footwear,5,35,3,4,casual,0
6.6,7.9,66,0.6,rain,autumn,25-35,sporty,normal,formal,Scarf,accessories,-30,10,7,6,elegant,1
7.1,7.5,40,5.2,snow,autumn,45+,casual,warm,informal,Heavy Sweater,upper,-10,10,7,5,casual,1
9.8,8.6,47,11.4,rain,spring,18-25,sporty,very_cold,informal,Raincoat,outerwear,5,25,3,4,casual,1
32.4,29.0,47,5.3,rain,summer,45+,casual,very_cold,formal,Oxford Shoes,footwear,5,35,2,10,business,1
20.0,16.4,31,7.0,clear,summer,18-25,business,very_warm,semi_formal,Light Jacket,outerwear,10,20,4,6,casual,1
4.7,4.5,40,0.1,clear,autumn,35-45,sporty,cold,formal,Denim Jacket,outerwear,12,22,3,5,casual,0
13.0,12.9,91,1.8,rain,autumn,45+,casual,very_cold,semi_formal,Down Jacket,outerwear,-25,5,9,5,casual,0
12.2,11.2,54,13.5,drizzle,spring,45+,casual,normal,formal,Light Jacket,outerwear,10,20,4,6,casual,1
0.7,-0.2,67,0.7,clear,winter,25-35,sporty,very_warm,informal,Gloves,accessories,-30,5,8,5,casual,1
8.4,8.2,93,1.2,rain,spring,18-25,elegant,warm,semi_formal,Light Jacket,outerwear,10,20,4,6,casual,0
22.7,21.3,66,10.2,clear,summer,45+,business,cold,semi_formal,Shorts,lower,20,40,1,3,casual,0
24.0,20.1,89,4.7,clouds,spring,18-25,sporty,very_warm,formal,Down Jacket,outerwear,-25,5,9,5,casual,0
-8.8,-8.9,50,14.0,clear,winter,35-45,elegant,very_warm,informal,Shorts,lower,20,40,1,3,casual,0
-2.8,-1.9,78,6.8,clouds,winter,18-25,sporty,normal,informal,Baseball Cap,accessories,15,40,0,3,sporty,0
24.0,23.4,58,11.1,clear,autumn,18-25,sporty,very_warm,formal,Winter Hat,accessories,-30,5,8,4,casual,0
31.4,27.5,73,12.0,clear,summer,35-45,casual,very_cold,informal,Heavy Sweater,upper,-10,10,7,5,casual,0
9.1,7.9,30,7.5,clouds,spring,45+,business,cold,semi_formal,Wool Coat,outerwear,-15,5,8,8,business,1
5.7,4.1,31,5.1,clear,spring,45+,elegant,normal,semi_formal,Polo Shirt,upper,15,28,2,6,casual,0
28.0,28.0,50,14.6,clouds,summer,25-35,sporty,normal,formal,Chinos,lower,10,28,3,7,business,1
13.8,9.5,34,12.6,drizzle,autumn,18-25,sporty,very_cold,informal,Shorts,lower,20,40,1,3,casual,0
-4.1,-4.0,45,13.2,clear,winter,35-45,business,normal,formal,Winter Hat,accessories,-30,5,8,4,casual,0
16.6,14.9,70,9.4,rain,spring,35-45,business,warm,informal,Sneakers,footwear,5,35,3,4,casual,1
-4.3,-8.0,38,7.9,snow,winter,45+,elegant,very_cold,formal,Down Jacket,outerwear,-25,5,9,5,casual,1
19.0,18.0,66,11.7,clear,summer,45+,business,cold,semi_formal,Fleece Jacket,outerwear,0,15,6,4,sporty,1
28.2,25.7,54,11.5,clear,summer,25-35,business,warm,informal,Tank Top,upper,25,45,1,2,casual,1
18.2,18.8,65,0.5,clear,spring,25-35,casual,warm,formal,Scarf,accessories,-30,10,7,6,elegant,0
18.0,17.4,78,10.0,clear,autumn,35-45,elegant,very_warm,formal,Summer Dress,upper,20,35,1,6,elegant,1
5.7,1.5,38,13.4,clouds,winter,45+,casual,warm,informal,Chinos,lower,10,28,3,7,business,1
25.8,24.2,91,12.6,clear,summer,35-45,sporty,very_warm,formal,Down Jacket,outerwear,-25,5,9,5,casual,0
7.1,3.8,93,13.6,clouds,winter,25-35,casual,cold,semi_formal,Chinos,lower,10,28,3,7,business,0
26.6,28.1,91,4.5,clear,summer,18-25,business,very_warm,semi_formal,Cardigan,upper,5,18,5,6,casual,0
26.0,27.7,71,4.5,clouds,summer,18-25,sporty,very_warm,semi_formal,Winter Boots,footwear,-30,5,9,5,casual,0
20.0,19.5,33,5.0,clear,summer,25-35,casual,very_cold,formal,Hoodie,upper,8,20,5,3,sporty,1
6.5,8.4,37,2.8,snow,winter,25-35,sporty,normal,informal,Swim Shorts,lower,28,45,1,1,sporty,0
24.2,21.2,81,8.5,clouds,summer,35-45,business,normal,informal,Linen Shirt,upper,22,38,1,7,business,1
9.6,7.7,57,12.7,clouds,spring,18-25,sporty,very_cold,informal,Gloves,accessories,-30,5,8,5,casual,0
3.5,0.1,88,6.2,snow,autumn,45+,business,cold,semi_formal,Suit,upper,15,28,3,10,business,0
12.7,13.5,80,9.3,clear,spring,18-25,sporty,very_warm,formal,Hoodie,upper,8,20,5,3,sporty,1
16.9,12.0,40,11.4,rain,spring,45+,elegant,very_cold,formal,Gloves,accessories,-30,5,8,5,casual,0
-20.8,-20.6,37,12.4,snow,winter,18-25,sporty,very_cold,informal,Long Sleeve Shirt,upper,0,20,4,7,business,0
-0.2,-3.5,69,13.2,clouds,winter,35-45,elegant,normal,informal,Winter Jacket,outerwear,-5,10,7,5,casual,1
-3.5,-2.8,57,4.4,clouds,autumn,25-35,casual,very_cold,formal,Wool Coat,outerwear,-15,5,8,8,business,1
22.4,22.6,90,10.0,clouds,spring,25-35,elegant,cold,semi_formal,Heavy Sweater,upper,-10,10,7,5,casual,0
9.3,11.0,66,3.7,rain,autumn,25-35,casual,cold,semi_formal,Raincoat,outerwear,5,25,3,4,casual,1
10.8,10.3,52,9.1,clear,autumn,45+,casual,normal,formal,Jeans,lower,-5,25,4,5,casual,1
-4.4,-5.9,75,2.2,snow,autumn,35-45,business,very_cold,formal,Chinos,lower,10,28,3,7,business,0
1.6,-0.5,72,2.7,clear,winter,45+,sporty,very_cold,formal,Tank Top,upper,25,45,1,2,casual,0
27.4,29.7,81,3.3,clear,summer,35-45,business,very_warm,formal,Shorts,lower,20,40,1,3,casual,1
28.2,29.9,66,5.8,clouds,summer,45+,casual,very_warm,informal,Sneakers,footwear,5,35,3,4,casual,1
4.0,2.6,78,11.6,rain,spring,45+,elegant,very_cold,semi_formal,Long Sleeve Shirt,upper,0,20,4,7,business,0
-7.1,-7.2,79,5.9,clouds,spring,18-25,sporty,normal,informal,Heavy Sweater,upper,-10,10,7,5,casual,1
8.3,9.1,36,7.4,clouds,spring,45+,elegant,normal,formal,Long Sleeve Shirt,upper,0,20,4,7,business,1
-13.2,-14.2,88,9.2,clouds,autumn,18-25,casual,very_warm,informal,Oxford Shoes,footwear,5,35,2,10,business,0
19.7,15.7,91,12.3,snow,autumn,45+,elegant,very_cold,informal,T-Shirt,upper,18,35,1,3,casual,0
8.9,11.0,72,0.3,snow,spring,25-35,casual,warm,formal,Long Sleeve Shirt,upper,0,20,4,7,business,1
26.2,26.4,35,3.2,clouds,summer,45+,casual,very_cold,semi_formal,Summer Dress,upper,20,35,1,6,elegant,1
25.2,22.0,78,1.9,clear,summer,45+,business,warm,informal,Jeans,lower,-5,25,4,5,casual,1
5.7,1.5,38,13.4,clouds,winter,45+,casual,warm,informal,Denim Jacket,outerwear,12,22,3,5,casual,1
-11.4,-12.5,72,1.7,clouds,winter,25-35,elegant,cold,semi_formal,Down Jacket,outerwear,-25,5,9,5,casual,1
18.3,14.9,84,15.0,clear,spring,45+,sporty,very_warm,informal,Wool Coat,outerwear,-15,5,8,8,business,0
16.1,15.2,66,1.5,clear,spring,45+,sporty,very_warm,informal,Sandals,footwear,22,45,1,2,casual,0
-14.2,-14.7,69,14.4,clouds,winter,35-45,sporty,cold,formal,Winter Boots,footwear,-30,5,9,5,casual,1
9.8,5.5,32,11.1,clouds,spring,25-35,sporty,cold,formal,T-Shirt,upper,18,35,1,3,casual,0
15.5,11.3,55,6.8,clouds,autumn,35-45,business,very_warm,semi_formal,Long Sleeve Shirt,upper,0,20,4,7,business,1
13.6,13.2,52,13.5,clouds,spring,35-45,casual,normal,informal,Wool Coat,outerwear,-15,5,8,8,business,0
28.4,28.7,34,3.5,clouds,summer,18-25,elegant,normal,formal,Suit,upper,15,28,3,10,business,1
6.3,3.6,83,9.1,clear,autumn,18-25,elegant,warm,informal,Fleece Jacket,outerwear,0,15,6,4,sporty,1
-10.8,-12.3,39,0.3,clouds,winter,25-35,elegant,cold,semi_formal,Oxford Shoes,footwear,5,35,2,10,business,0
14.6,16.4,90,4.2,clear,spring,35-45,sporty,cold,formal,Fleece Jacket,outerwear,0,15,6,4,sporty,1
10.6,7.7,85,3.5,clouds,spring,35-45,casual,very_cold,informal,Swim Shorts,lower,28,45,1,1,sporty,0
-3.9,-1.4,83,2.1,clouds,winter,45+,elegant,very_cold,informal,Heavy Parka,outerwear,-30,0,10,4,casual,1
19.6,14.6,69,14.7,clouds,summer,45+,elegant,normal,semi_formal,Raincoat,outerwear,5,25,3,4,casual,1
17.1,14.8,92,6.4,clouds,summer,35-45,casual,very_cold,informal,Suit,upper,15,28,3,10,business,1
12.4,14.2,32,5.3,clouds,autumn,25-35,business,normal,formal,Summer Dress,upper,20,35,1,6,elegant,0
30.2,32.3,92,3.6,clear,summer,35-45,elegant,very_warm,formal,Swim Shorts,lower,28,45,1,1,sporty,1
28.6,26.5,82,8.5,clouds,summer,45+,elegant,normal,formal,Dress Pants,lower,10,30,3,9,business,1
9.1,9.3,78,9.9,drizzle,spring,18-25,elegant,warm,semi_formal,Linen Shirt,upper,22,38,1,7,business,0
0.6,-1.0,41,10.9,rain,autumn,45+,casual,very_cold,semi_formal,Light Jacket,outerwear,10,20,4,6,casual,0
4.6,5.7,74,7.5,snow,winter,25-35,casual,very_cold,formal,Scarf,accessories,-30,10,7,6,elegant,1
-18.3,-20.5,50,0.4,clear,winter,35-45,business,very_cold,formal,Tank Top,upper,25,45,1,2,casual,0
-1.3,-5.3,58,6.1,rain,spring,18-25,elegant,warm,semi_formal,Tank Top,upper,25,45,1,2,casual,0
14.5,11.8,39,9.1,drizzle,spring,18-25,business,very_cold,informal,Oxford Shoes,footwear,5,35,2,10,business,1
